,url,img,color,occasion,style
48,https://en-ae.namshi.com/buy-nukhbaa-embroidered-abaya-w1029093a.html,https://pa.namshicdn.com/product/A3/909201W/1-web-desktop-list.jpg,Grey,Evening,
49,https://en-ae.namshi.com/buy-nukhbaa-embroidered-abaya-w1074251a.html,https://pa.namshicdn.com/product/A1/524701W/1-web-desktop-list.jpg,Black,Evening,
50,https://en-ae.namshi.com/buy-nukhbaa-belted-embroidered-abaya-w1197780a.html,https://pa.namshicdn.com/product/A0/877911W/1-web-desktop-list.jpg,White,event,
51,https://en-ae.namshi.com/buy-thouq-printed-pleated-abaya-w1017887a.html,https://pa.namshicdn.com/product/A7/887101W/1-web-desktop-list.jpg,Black,Casual,
52,https://en-ae.namshi.com/buy-neways-by-modanisa-pocket-detail-denim-abaya-w1186308a.html,https://pa.namshicdn.com/product/A8/036811W/1-web-desktop-list.jpg,Blue,Casual,
53,https://en-ae.namshi.com/buy-thouq-printed-pleated-abaya-w1017894a.html,https://pa.namshicdn.com/product/A4/987101W/1-web-desktop-list.jpg,Black,Casual,
54,https://en-ae.namshi.com/buy-moistreet-pleated-abaya-w1065827a.html,https://pa.namshicdn.com/product/A7/285601W/1-web-desktop-list.jpg,Green,Casual,
55,https://en-ae.namshi.com/buy-meem-by-mariyah-asymmetric-knot-detail-abaya-w1152259a.html,https://pa.namshicdn.com/product/A9/522511W/1-web-desktop-list.jpg,Grey,Casual,
56,https://en-ae.namshi.com/buy-khizana-embroidery-detail-abaya-w1189387a.html,https://pa.namshicdn.com/product/A7/839811W/1-web-desktop-list.jpg,Purple,Evening,
57,https://en-ae.namshi.com/buy-khizana-embroidered-puff-sleeve-jacket-w1121269a.html,https://pa.namshicdn.com/product/A9/621211W/1-web-desktop-list.jpg,Pink,Casual,
58,https://en-ae.namshi.com/buy-hayas-closet-panel-detail-abaya-w915483a.html,https://pa.namshicdn.com/product/A3/84519W/1-web-desktop-list.jpg,Black,Evening,
59,https://en-ae.namshi.com/buy-nukhbaa-embellished-abaya-w1126283a.html,https://pa.namshicdn.com/product/A3/826211W/1-web-desktop-list.jpg,Black,Evening,
60,https://en-ae.namshi.com/buy-khizana-tiered-stitch-detail-abaya-w1189402a.html,https://pa.namshicdn.com/product/A2/049811W/1-web-desktop-list.jpg,Beige,Casual,
61,https://en-ae.namshi.com/buy-khizana-embroidery-detail-abaya-w1189388a.html,https://pa.namshicdn.com/product/A8/839811W/1-web-desktop-list.jpg,Green,Evening,
62,https://en-ae.namshi.com/buy-nukhbaa-button-down-abaya-w1197790a.html,https://pa.namshicdn.com/product/A0/977911W/1-web-desktop-list.jpg,Beige,Casual,
63,https://en-ae.namshi.com/buy-hayas-closet-pleated-abaya-w1080070a.html,https://pa.namshicdn.com/product/A0/700801W/1-web-desktop-list.jpg,Green,Evening,
64,https://en-ae.namshi.com/buy-amri-embellished-mesh-detail-abaya-w1023889a.html,https://pa.namshicdn.com/product/A9/883201W/1-web-desktop-list.jpg,Gold,Evening,
65,https://en-ae.namshi.com/buy-hayas-closet-lace-detail-abaya-w915475a.html,https://pa.namshicdn.com/product/A5/74519W/1-web-desktop-list.jpg,Black,Evening,
66,https://en-ae.namshi.com/buy-nukhbaa-colorblock-abaya-w1197718a.html,https://pa.namshicdn.com/product/A8/177911W/1-web-desktop-list.jpg,Multicolor,Casual,
67,https://en-ae.namshi.com/buy-khizana-embroidery-detail-abaya-w1189389a.html,https://pa.namshicdn.com/product/A9/839811W/1-web-desktop-list.jpg,Blue,Evening,
68,https://en-ae.namshi.com/buy-khizana-shimmer-waist-embroidered-abaya-w1111388a.html,https://pa.namshicdn.com/product/A8/831111W/1-web-desktop-list.jpg,Burgundy,Evening,
69,https://en-ae.namshi.com/buy-nukhbaa-premium-nukhbaa-abaya-w985958a.html,https://pa.namshicdn.com/product/A8/59589W/1-web-desktop-list.jpg,Black,Casual,
70,https://en-ae.namshi.com/buy-nukhbaa-lace-hem-abaya-w1197714a.html,https://pa.namshicdn.com/product/A4/177911W/1-web-desktop-list.jpg,Black,Casual,
71,https://en-ae.namshi.com/buy-thouq-wide-sleeves-colorblock-abaya-w1097635a.html,https://pa.namshicdn.com/product/A5/367901W/1-web-desktop-list.jpg,Multicolor,Casual,
72,https://en-ae.namshi.com/buy-hayas-closet-knitted-v-neck-abaya-w1080064a.html,https://pa.namshicdn.com/product/A4/600801W/1-web-desktop-list.jpg,Black,Evening,
73,https://en-ae.namshi.com/buy-khizana-stitch-detail-abaya-w1189375a.html,https://pa.namshicdn.com/product/A5/739811W/1-web-desktop-list.jpg,White,Casual,
74,https://en-ae.namshi.com/buy-tavin-by-modanisa-pleated-high-neck-abaya-w896718a.html,https://pa.namshicdn.com/product/A8/17698W/v1/1-web-desktop-list.jpg,Grey,Evening,
75,https://en-ae.namshi.com/buy-meem-by-mariyah-crew-neck-embellished-abaya-w1152262a.html,https://pa.namshicdn.com/product/A2/622511W/1-web-desktop-list.jpg,Green,Casual,
76,https://en-ae.namshi.com/buy-nukhbaa-embroidered-abaya-w1074245a.html,https://pa.namshicdn.com/product/A5/424701W/1-web-desktop-list.jpg,Multicolor,Evening,
77,https://en-ae.namshi.com/buy-thouq-printed-pleated-abaya-w1017892a.html,https://pa.namshicdn.com/product/A2/987101W/1-web-desktop-list.jpg,Blue,Casual,
78,https://en-ae.namshi.com/buy-khizana-ruched-sleeve-abaya-w1111365a.html,https://pa.namshicdn.com/product/A5/631111W/1-web-desktop-list.jpg,Pink,Evening,
79,https://en-ae.namshi.com/buy-nukhbaa-embellished-trim-abaya-w1197813a.html,https://pa.namshicdn.com/product/A3/187911W/1-web-desktop-list.jpg,Black,event,
80,https://en-ae.namshi.com/buy-hayas-closet-all-over-print-abaya-w1080061a.html,https://pa.namshicdn.com/product/A1/600801W/1-web-desktop-list.jpg,Black,Evening,
81,https://en-ae.namshi.com/buy-neways-by-modanisa-crew-neck-denim-abaya-w1186350a.html,https://pa.namshicdn.com/product/A0/536811W/1-web-desktop-list.jpg,Navy,Casual,
82,https://en-ae.namshi.com/buy-khizana-embroidery-pleat-detail-abaya-w1189370a.html,https://pa.namshicdn.com/product/A0/739811W/1-web-desktop-list.jpg,Green,Evening,
83,https://en-ae.namshi.com/buy-refka-by-modanisa-belt-detail-printed-abaya-w1063013a.html,https://pa.namshicdn.com/product/A3/103601W/1-web-desktop-list.jpg,Prints,Casual,
84,https://en-ae.namshi.com/buy-thouq-embellished-abaya-w1082068a.html,https://pa.namshicdn.com/product/A8/602801W/1-web-desktop-list.jpg,Prints,Casual,
85,https://en-ae.namshi.com/buy-nukhbaa-embellished-abaya-w1126291a.html,https://pa.namshicdn.com/product/A1/926211W/1-web-desktop-list.jpg,Black,Evening,
86,https://en-ae.namshi.com/buy-khizana-stitch-detail-abaya-w1189369a.html,https://pa.namshicdn.com/product/A9/639811W/1-web-desktop-list.jpg,Purple,Casual,
87,https://en-ae.namshi.com/buy-khizana-print-detail-abaya-w1189386a.html,https://pa.namshicdn.com/product/A6/839811W/1-web-desktop-list.jpg,Pink,Casual,
88,https://en-ae.namshi.com/buy-khizana-embroidered-detail-abaya-w949536a.html,https://pa.namshicdn.com/product/A6/35949W/1-web-desktop-list.jpg,Pink,Evening,
89,https://en-ae.namshi.com/buy-khizana-lace-layering-abaya-w1121264a.html,https://pa.namshicdn.com/product/A4/621211W/1-web-desktop-list.jpg,brown,Casual,
90,https://en-ae.namshi.com/buy-khizana-embroidered-detail-abaya-w1151567a.html,https://pa.namshicdn.com/product/A7/651511W/1-web-desktop-list.jpg,Green,Evening,
91,https://en-ae.namshi.com/buy-khizana-scallop-embroidery-detail-abaya-w1189384a.html,https://pa.namshicdn.com/product/A4/839811W/1-web-desktop-list.jpg,Purple,Evening,
92,https://en-ae.namshi.com/buy-khizana-embroidery-detail-abaya-w1189390a.html,https://pa.namshicdn.com/product/A0/939811W/1-web-desktop-list.jpg,Yellow,Evening,
93,https://en-ae.namshi.com/buy-khizana-contrast-panel-embroidery-detail-abaya-w1189397a.html,https://pa.namshicdn.com/product/A7/939811W/1-web-desktop-list.jpg,Blue,Evening,
94,https://en-ae.namshi.com/buy-khizana-contrast-sleeve-hem-seam-detail-abaya-w1189394a.html,https://pa.namshicdn.com/product/A4/939811W/1-web-desktop-list.jpg,Blue,Casual,
95,https://en-ae.namshi.com/buy-khizana-embroidery-bell-sleeve-pocket-detail-abaya-w1189400a.html,https://pa.namshicdn.com/product/A0/049811W/1-web-desktop-list.jpg,Navy,Evening,
96,https://en-ae.namshi.com/buy-khizana-embroidery-pleat-detail-abaya-w1189371a.html,https://pa.namshicdn.com/product/A1/739811W/1-web-desktop-list.webp,Pink,Evening,
97,https://en-ae.namshi.com/buy-khizana-bell-sleeve-embroidery-patch-detail-abaya-w1189381a.html,https://pa.namshicdn.com/product/A1/839811W/1-web-desktop-list.webp,White,Evening,
98,https://en-ae.namshi.com/buy-khizana-flared-cuff-stitch-detail-abaya-w1189372a.html,https://pa.namshicdn.com/product/A2/739811W/1-web-desktop-list.webp,White,Casual,
99,https://en-ae.namshi.com/buy-khizana-bell-sleeve-embroidery-detail-abaya-w1189382a.html,https://pa.namshicdn.com/product/A2/839811W/1-web-desktop-list.webp,Pink,Evening,
100,https://en-ae.namshi.com/buy-khizana-embellished-detail-abaya-w1160880a.html,https://pa.namshicdn.com/product/A0/880611W/1-web-desktop-list.webp,Black,Evening,
101,https://en-ae.namshi.com/buy-khizana-embroidered-abaya-with-contrast-trim-w1151628a.html,https://pa.namshicdn.com/product/A8/261511W/1-web-desktop-list.webp,Beige,Evening,
102,https://en-ae.namshi.com/buy-khizana-embellished-embroidery-detail-abaya-w1189391a.html,https://pa.namshicdn.com/product/A1/939811W/1-web-desktop-list.webp,Green,Evening,
103,https://en-ae.namshi.com/buy-khizana-ruffle-hem-abaya-w1154413a.html,https://pa.namshicdn.com/product/A3/144511W/1-web-desktop-list.webp,Burgundy,Casual,
